"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.03943256471377e-50,0.108923594308167,0.094,0.355,1.97419427016087e-46,"Activated_T_cells","RIMKLB"
1.56730364545755e-50,0.127641026497482,0.101,0.367,2.97677981381753e-46,"Activated_T_cells","TNPO3"
1.75284996491473e-50,0.116693796117907,0.1,0.365,3.32918793836254e-46,"Activated_T_cells","VPS37B"
1.79266603463414e-50,0.116009830687246,0.169,0.495,3.40481059958061e-46,"Activated_T_cells","MAPK1IP1L"
1.81110121316107e-50,0.123885185728014,0.144,0.449,3.43982453415682e-46,"Activated_T_cells","TMEM263"
6.22139658281733e-50,0.159590811765492,0.124,0.408,1.1816298529745e-45,"Activated_T_cells","POLR2H"
7.06201137255485e-50,0.16827991800447,0.12,0.401,1.34128781998934e-45,"Activated_T_cells","BAP1"
1.71270866895828e-49,0.18322901123915,0.107,0.376,3.25294757495246e-45,"Activated_T_cells","SOS2"
2.43473890091396e-49,0.104670072850937,0.134,0.425,4.62429959450588e-45,"Activated_T_cells","TIMM8B"
2.59667145105663e-49,0.108460087610657,0.144,0.444,4.93185808699185e-45,"Activated_T_cells","KATNAL1"
3.43048046415596e-49,0.103839972338678,0.106,0.373,6.51551154557141e-45,"Activated_T_cells","XRCC6"
4.40426054841368e-49,0.114057843383413,0.14,0.432,8.3650120596021e-45,"Activated_T_cells","KDM3A"
1.30261938879157e-48,0.112620161297517,0.103,0.364,2.47406500513183e-44,"Activated_T_cells","CCDC28A"
1.36269637123672e-48,0.192269510616418,0.128,0.413,2.5881692178899e-44,"Activated_T_cells","SLC20A1"
1.4736332934079e-48,1.34064566881584,0.582,0.517,2.79887171416963e-44,"Activated_T_cells","DYRK2"
1.48827857983435e-48,0.106183948958708,0.148,0.449,2.82668750667938e-44,"Activated_T_cells","HSPE1"
2.18334973141901e-48,0.122053116956801,0.11,0.377,4.14683614488412e-44,"Activated_T_cells","MAN1A2"
2.42524169529594e-48,0.192494835692657,0.091,0.341,4.60626155187557e-44,"Activated_T_cells","BCCIP"
2.60546898072067e-48,0.207734006380178,0.115,0.387,4.94856723508277e-44,"Activated_T_cells","SEC23B"
3.39540300311629e-48,0.16724809366348,0.123,0.4,6.44888892381877e-44,"Activated_T_cells","PHAX"
3.51327878269466e-48,0.171129806973363,0.141,0.435,6.67277039197197e-44,"Activated_T_cells","C9orf78"
4.7722040558173e-48,0.156286490071302,0.112,0.379,9.0638471632138e-44,"Activated_T_cells","ZFAND2B"
5.318771432616e-48,0.16152594538029,0.101,0.359,1.01019425819676e-43,"Activated_T_cells","AUH"
5.82411303219285e-48,0.113889247247903,0.094,0.344,1.10617378820439e-43,"Activated_T_cells","RNF4"
9.19527033034395e-48,0.166668792503597,0.176,0.5,1.74645769384223e-43,"Activated_T_cells","GOSR2"
1.40441035800038e-47,0.128787755152024,0.166,0.475,2.66739659295013e-43,"Activated_T_cells","LMAN1"
1.52330642321414e-47,0.101137913829662,0.134,0.418,2.89321588961062e-43,"Activated_T_cells","PGPEP1"
2.03334715393097e-47,0.207719586433061,0.17,0.487,3.86193624946109e-43,"Activated_T_cells","AP3S2"
2.12009745703478e-47,0.149816511086862,0.103,0.361,4.02670110014616e-43,"Activated_T_cells","PPM1K"
2.97578176937241e-47,0.140191548771773,0.107,0.368,5.65190231456902e-43,"Activated_T_cells","SMARCC1"
3.00409347169189e-47,0.164679336513326,0.124,0.401,5.70567473078442e-43,"Activated_T_cells","ELAC2"
3.07608680063352e-47,0.174693797067536,0.131,0.413,5.84241166044324e-43,"Activated_T_cells","EPC2"
3.12178355575574e-47,0.119193744367445,0.108,0.369,5.92920350744687e-43,"Activated_T_cells","RPTOR"
3.19745711616192e-47,0.118893797786929,0.084,0.325,6.07293030072634e-43,"Activated_T_cells","BORCS7"
3.28388503534642e-47,0.131175556415644,0.134,0.417,6.23708284763345e-43,"Activated_T_cells","ZBTB25"
3.66731701226236e-47,0.192755979291764,0.156,0.46,6.9653352013899e-43,"Activated_T_cells","ZNF410"
3.94207044404447e-47,0.181975623213684,0.139,0.426,7.48717439437366e-43,"Activated_T_cells","EIF3J"
4.58486322005562e-47,0.119406367398368,0.203,0.55,8.70803071385164e-43,"Activated_T_cells","INTS11"
6.04289827395166e-47,0.120281762601809,0.122,0.394,1.14772766917164e-42,"Activated_T_cells","BAG5"
6.43575088464265e-47,0.194526929655424,0.126,0.402,1.22234216552018e-42,"Activated_T_cells","LSM7"
8.6919017033561e-47,0.232256254089997,0.168,0.483,1.65085289051843e-42,"Activated_T_cells","UBR4"
8.81772485452521e-47,0.147130996120722,0.131,0.411,1.67475048161997e-42,"Activated_T_cells","MDH2"
9.69363114737577e-47,0.175904809500762,0.097,0.347,1.84111136382108e-42,"Activated_T_cells","CNST"
9.94942306967168e-47,0.119237086694946,0.144,0.435,1.88969392362274e-42,"Activated_T_cells","MRNIP"
1.07643135156682e-46,0.118414414239617,0.152,0.448,2.04446606603087e-42,"Activated_T_cells","HS6ST1"
1.14407895322828e-46,0.204566764709247,0.127,0.404,2.17294915586648e-42,"Activated_T_cells","ALKBH7"
